diff,label,actual_index,llama-70b-output,llama3.1-8b-output,mistral-large-output,gpt-4o-output
- ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_)
- ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_)
- ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_)
- ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_)
- ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_)
- ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_)
- ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_)
- ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_)
- ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_, PROC_INST_ID_)
- ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_)
- ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_)

These changes address CAM-8184.
```"
"diff --git a/distro/sql-script/upgrade/h2_engine_7.7_patch_7.7.4_to_7.7.5.sql b/distro/sql-script/upgrade/h2_engine_7.7_patch_7.7.4_to_7.7.5.sql
new file mode 100644
index 0000000000..404dd4378f
--- /dev/null
+++ b/distro/sql-script/upgrade/h2_engine_7.7_patch_7.7.4_to_7.7.5.sql
@@ -0,0 +1,14 @@
+-- insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184 --
+create index ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_);
+create index ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_);
+create index ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_);
+create index ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_);
+create index ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_);
+create index ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_);
+create index ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_);
+create index ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_);
+create index ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_);
+create index ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_);
+create index ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_);
\ No newline at end of file
",add indices to improve performance of history cleanup .,1,Added SQL script for H2 engine upgrade from 7.7.4 to 7.7.5.,"According to the diff, the commit message should be:

""Added indices for history cleanup (CAM-8184)""","""Add indices for history cleanup - CAM-8184""","""Add indices for history cleanup to improve performance in H2 database, addressing CAM-8184"""
"diff --git a/distro/sql-script/upgrade/mariadb_engine_7.7_patch_7.7.4_to_7.7.5.sql b/distro/sql-script/upgrade/mariadb_engine_7.7_patch_7.7.4_to_7.7.5.sql
new file mode 100644
index 0000000000..404dd4378f
--- /dev/null
+++ b/distro/sql-script/upgrade/mariadb_engine_7.7_patch_7.7.4_to_7.7.5.sql
@@ -0,0 +1,14 @@
+-- insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184 --
+create index ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_);
+create index ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_);
+create index ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_);
+create index ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_);
+create index ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_);
+create index ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_);
+create index ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_);
+create index ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_);
+create index ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_);
+create index ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_);
+create index ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_);
\ No newline at end of file
",add indices to improve performance of history cleanup .,1,"""Added indices for history cleanup in MariaDB engine 7.7.4 to 7.7.5 upgrade""","According to the diff, the commit message should be:

""Added indices for history cleanup""

However, based on the JIRA reference in the SQL script, a more specific commit message would be:

""Added indices for history cleanup (CAM-8184)""","""Add indices for history cleanup - CAM-8184""","```
Add indices for history cleanup in MariaDB engine patch 7.7.4 to 7.7.5

- Insert indices to optimize history cleanup operations as outlined in CAM-8184.
- Created new indices on various history tables to improve query performance.
```"
"diff --git a/distro/sql-script/upgrade/mssql_engine_7.7_patch_7.7.4_to_7.7.5.sql b/distro/sql-script/upgrade/mssql_engine_7.7_patch_7.7.4_to_7.7.5.sql
new file mode 100644
index 0000000000..404dd4378f
--- /dev/null
+++ b/distro/sql-script/upgrade/mssql_engine_7.7_patch_7.7.4_to_7.7.5.sql
@@ -0,0 +1,14 @@
+-- insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184 --
+create index ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_);
+create index ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_);
+create index ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_);
+create index ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_);
+create index ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_);
+create index ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_);
+create index ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_);
+create index ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_);
+create index ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_);
+create index ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_);
+create index ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_);
\ No newline at end of file
",add indices to improve performance of history cleanup .,1,"""Added indices for history cleanup in mssql engine 7.7.4 to 7.7.5 upgrade script""","According to the diff, the commit message should be:

""Added indices for history cleanup""

However, based on the JIRA reference in the SQL script (CAM-8184), a more descriptive commit message could be:

""Added indices for history cleanup to resolve CAM-8184""

Or, if you want to follow the conventional commit message format:

""fix: Added indices for history cleanup to resolve CAM-8184""","""Add indices for history cleanup - CAM-8184""","The commit message should be:

```
Add indices for history cleanup - CAM-8184

This commit introduces new indices to aid in history cleanup for the Camunda database. The following indices have been added:
- ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_)
- ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_)
- ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_)
- ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_)
- ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_)
- ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_)
- ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_)
- ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_)
- ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_, PROC_INST_ID_)
- ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_)
- ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_)

These updates are intended to improve the performance of history cleanup processes.
```"
"diff --git a/distro/sql-script/upgrade/mysql_engine_7.7_patch_7.7.4_to_7.7.5.sql b/distro/sql-script/upgrade/mysql_engine_7.7_patch_7.7.4_to_7.7.5.sql
new file mode 100644
index 0000000000..404dd4378f
--- /dev/null
+++ b/distro/sql-script/upgrade/mysql_engine_7.7_patch_7.7.4_to_7.7.5.sql
@@ -0,0 +1,14 @@
+-- insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184 --
+create index ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_);
+create index ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_);
+create index ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_);
+create index ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_);
+create index ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_);
+create index ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_);
+create index ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_);
+create index ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_);
+create index ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_);
+create index ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_);
+create index ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_);
\ No newline at end of file
",add indices to improve performance of history cleanup .,1,"""Added indices for history cleanup in MySQL engine 7.7.5 upgrade""","According to the diff, the commit message should be:

""Added indices for history cleanup""

However, based on the JIRA reference in the SQL script (CAM-8184), a more descriptive commit message would be:

""Added indices for history cleanup as per CAM-8184""","""Add indices for history cleanup - CAM-8184""","Based on the diff provided, here is a suitable commit message:

```
Add indices for history cleanup in MySQL 7.7 patch 7.7.4 to 7.7.5

Added various indices to improve the performance of history cleanup as per CAM-8184:
- ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_)
- ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_)
- ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_)
- ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_)
- ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_)
- ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_)
- ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_)
- ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_)
- ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_, PROC_INST_ID_)
- ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_)
- ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_)
```

This commit message accurately reflects the changes made in the SQL script, specifying both the purpose and the specific indices added."
"diff --git a/distro/sql-script/upgrade/oracle_engine_7.7_patch_7.7.4_to_7.7.5.sql b/distro/sql-script/upgrade/oracle_engine_7.7_patch_7.7.4_to_7.7.5.sql
new file mode 100644
index 0000000000..404dd4378f
--- /dev/null
+++ b/distro/sql-script/upgrade/oracle_engine_7.7_patch_7.7.4_to_7.7.5.sql
@@ -0,0 +1,14 @@
+-- insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184 --
+create index ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_);
+create index ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_);
+create index ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_);
+create index ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_);
+create index ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_);
+create index ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_);
+create index ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_);
+create index ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_);
+create index ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_);
+create index ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_);
+create index ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_);
\ No newline at end of file
",add indices to improve performance of history cleanup .,1,Added Oracle SQL script for 7.7.4 to 7.7.5 patch upgrade.,"According to the diff, the commit message should be:

""insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184""

This is the comment at the top of the SQL script file, which is likely the commit message for the changes made in this diff.","""Add indices for history cleanup - CAM-8184""","```
Add indices for history cleanup to improve performance

Added the following indices to the Oracle_engine to improve the history cleanup performance as part of the upgrade from version 7.7.4 to 7.7.5:

- ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_)
- ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_)
- ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_)
- ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_)
- ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_)
- ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_)
- ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_)
- ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_)
- ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_)
- ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_)
- ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_)
- ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_)

This change addresses the improvement request logged in CAM-8184.
```"
"diff --git a/distro/sql-script/upgrade/postgres_engine_7.7_patch_7.7.4_to_7.7.5.sql b/distro/sql-script/upgrade/postgres_engine_7.7_patch_7.7.4_to_7.7.5.sql
new file mode 100644
index 0000000000..404dd4378f
--- /dev/null
+++ b/distro/sql-script/upgrade/postgres_engine_7.7_patch_7.7.4_to_7.7.5.sql
@@ -0,0 +1,14 @@
+-- insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184 --
+create index ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_);
+create index ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_);
+create index ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_);
+create index ACT_IDX_HI_EXT_TASK_LOG_ERROR_DET on ACT_HI_EXT_TASK_LOG(ERROR_DETAILS_ID_);
+create index ACT_IDX_HI_COMMENT_TASK on ACT_HI_COMMENT(TASK_ID_);
+create index ACT_IDX_HI_COMMENT_PROCINST on ACT_HI_COMMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_CONTENT on ACT_HI_ATTACHMENT(CONTENT_ID_);
+create index ACT_IDX_HI_ATTACHMENT_PROCINST on ACT_HI_ATTACHMENT(PROC_INST_ID_);
+create index ACT_IDX_HI_ATTACHMENT_TASK on ACT_HI_ATTACHMENT(TASK_ID_);
+create index ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_);
+create index ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_);
+create index ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_);
+create index ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_);
\ No newline at end of file
",add indices to improve performance of history cleanup .,1,Added indices for history cleanup in Postgres engine 7.7.4 to 7.7.5 upgrade.,"According to the diff, the commit message should be:

""insert indices for history cleanup - https://app.camunda.com/jira/browse/CAM-8184""

This is the comment at the top of the SQL script, which appears to be the commit message.","""Add indices for history cleanup - CAM-8184""","```
Add indices for history cleanup to improve query performance

This commit adds several indices to historical tables in the Camunda database to assist with the cleanup of job logs, variable instances, details, external task logs, comments, attachments, task instances, identity links, and incidents. This implementation addresses performance issues identified in ticket CAM-8184.
```"
"diff --git a/engine/src/main/resources/org/camunda/bpm/engine/db/create/activiti.db2.create.history.sql b/engine/src/main/resources/org/camunda/bpm/engine/db/create/activiti.db2.create.history.sql
index d0b6cf3a6b..3fc5f04530 100644
--- a/engine/src/main/resources/org/camunda/bpm/engine/db/create/activiti.db2.create.history.sql
+++ b/engine/src/main/resources/org/camunda/bpm/engine/db/create/activiti.db2.create.history.sql
@@ -292,6 +292,8 @@ create index ACT_IDX_HI_ACT_INST_PROC_DEF_KEY on ACT_HI_ACTINST(PROC_DEF_KEY_);
 
 create index ACT_IDX_HI_TASK_INST_TENANT_ID on ACT_HI_TASKINST(TENANT_ID_);
 create index ACT_IDX_HI_TASK_INST_PROC_DEF_KEY on ACT_HI_TASKINST(PROC_DEF_KEY_);
+create index ACT_IDX_HI_TASKINST_PROCINST on ACT_HI_TASKINST(PROC_INST_ID_);
+create index ACT_IDX_HI_TASKINST_ID_PROCINST on ACT_HI_TASKINST(ID_,PROC_INST_ID_);
 
 create index ACT_IDX_HI_DETAIL_PROC_INST on ACT_HI_DETAIL(PROC_INST_ID_);
 create index ACT_IDX_HI_DETAIL_ACT_INST on ACT_HI_DETAIL(ACT_INST_ID_);
@@ -302,33 +304,44 @@ create index ACT_IDX_HI_DETAIL_NAME on ACT_HI_DETAIL(NAME_);
 create index ACT_IDX_HI_DETAIL_TASK_ID on ACT_HI_DETAIL(TASK_ID_);
 create index ACT_IDX_HI_DETAIL_TENANT_ID on ACT_HI_DETAIL(TENANT_ID_);
 create index ACT_IDX_HI_DETAIL_PROC_DEF_KEY on ACT_HI_DETAIL(PROC_DEF_KEY_);
+create index ACT_IDX_HI_DETAIL_BYTEAR on ACT_HI_DETAIL(BYTEARRAY_ID_);
 
 create index ACT_IDX_HI_IDENT_LNK_USER on ACT_HI_IDENTITYLINK(USER_ID_);
 create index ACT_IDX_HI_IDENT_LNK_GROUP on ACT_HI_IDENTITYLINK(GROUP_ID_);
 create index ACT_IDX_HI_IDENT_LNK_TENANT_ID on ACT_HI_IDENTITYLINK(TENANT_ID_);
 create index ACT_IDX_HI_IDENT_LNK_PROC_DEF_KEY on ACT_HI_IDENTITYLINK(PROC_DEF_KEY_);
+create index ACT_IDX_HI_IDENTITYLINK_TASK on ACT_HI_IDENTITYLINK(TASK_ID_);
 
 create index ACT_IDX_HI_PROCVAR_PROC_INST on ACT_HI_VARINST(PROC_INST_ID_);
 create index ACT_IDX_HI_PROCVAR_NAME_TYPE on ACT_HI_VARINST(NAME_, VAR_TYPE_);
 create index ACT_IDX_HI_CASEVAR_CASE_INST on ACT_HI_VARINST(CASE_INST_ID_);
 create index ACT_IDX_HI_VAR_INST_TENANT_ID on ACT_HI_VARINST(TENANT_ID_);
 create index ACT_IDX_HI_VAR_INST_PROC_DEF_KEY on ACT_HI_VARINST(PROC_DEF_KEY_);
-
+create index ACT_IDX_HI_VARINST_BYTEAR on ACT_HI_VARINST(BYTEARRAY_ID_);
 
 create index ACT_IDX_HI_INCIDENT_TENANT_ID on ACT_HI_INCIDENT(TENANT_ID_);
 create index ACT_IDX_HI_INCIDENT_PROC_DEF_KEY on ACT_HI_INCIDENT(PROC_DEF_KEY_);
-
+create index ACT_IDX_HI_INCIDENT_PROCINST on ACT_HI_INCIDENT(PROC_INST_ID_);
 
 create index ACT_IDX_HI_JOB_LOG_PROCINST on ACT_HI_JOB_LOG(PROCESS_INSTANCE_ID_);
 create index ACT_IDX_HI_JOB_LOG_PROCDEF on ACT_HI_JOB_LOG(PROCESS_DEF_ID_);
 create index ACT_IDX_HI_JOB_LOG_TENANT_ID on ACT_HI_JOB_LOG(TENANT_ID_);
 create index ACT_IDX_HI_JOB_LOG_JOB_DEF_ID on ACT_HI_JOB_LOG(JOB_DEF_ID_);
 create index ACT_IDX_HI_JOB_LOG_PROC_DEF_KEY on ACT_HI_JOB_LOG(PROCESS_DEF_KEY_);
+create index ACT_IDX_HI_JOB_LOG_EX_STACK on ACT_HI_JOB_LOG(JOB_EXCEPTION_STACK_ID_);
 
