diff,label,llama2-Output
+^^^^^^^
+
+In this example we marshal the file content to String object in UTF-8
+encoding.
+
+[source,java]
+----------------------------------------------------------------------
+from(""file://data.csv"").marshal().string(""UTF-8"").to(""jms://myqueue"");
+----------------------------------------------------------------------
+
+[[String-Unmarshal]]
+Unmarshal
+^^^^^^^^^
+
+In this example we unmarshal the payload from the JMS queue to a String
+object using UTF-8 encoding, before its processed by the newOrder
+processor.
+
+[source,java]
+-----------------------------------------------------------------------------
+from(""jms://queue/order"").unmarshal().string(""UTF-8"").processRef(""newOrder"");
+-----------------------------------------------------------------------------
+
+[[String-Dependencies]]
+Dependencies
+^^^^^^^^^^^^
+
+This data format is provided in *camel-core* so no additional
+dependencies is needed. [/INST]  Here is a meaningful Git commit message based on the diff you provided:

`Added String Dataformat documentation`

This commit message provides a brief summary of the changes made in the commit, including the addition of a new file"
"diff --git a/.test-infra/jenkins/job_Inventory.groovy b/.test-infra/jenkins/job_Inventory.groovy
index 32e0645cfd..fec1ba24ce 100644
--- a/.test-infra/jenkins/job_Inventory.groovy
+++ b/.test-infra/jenkins/job_Inventory.groovy
@@ -35,7 +35,7 @@ nums.each {
     // Allows triggering this build against pull requests.
     commonJobProperties.enablePhraseTriggeringFromPullRequest(
       delegate,
-      'Machine Inventory',
+      ""Machine Inventory ${machine}"",
       ""Run Inventory ${machine}"")
 
     parameters {
@@ -66,6 +66,7 @@ nums.each {
       shell('virtualenv -p python3.7 test37 && . ./test37/bin/activate && python --version && deactivate || echo ""python 3.7 not found""')
       shell('echo ""Maven home $MAVEN_HOME""')
       shell('env')
+      shell('docker system prune --all --filter until=24h --force')
     }
   }
 }",Add docker system prune to inventory job .,"[INST] Generate a meaningful git commit message from the following diff:
diff --git a/.test-infra/jenkins/job_Inventory.groovy b/.test-infra/jenkins/job_Inventory.groovy
index 32e0645cfd..fec1ba24ce 100644
--- a/.test-infra/jenkins/job_Inventory.groovy
+++ b/.test-infra/jenkins/job_Inventory.groovy
@@ -35,7 +35,7 @@ nums.each {
     // Allows triggering this build against pull requests.
     commonJobProperties.enablePhraseTriggeringFromPullRequest(
       delegate,
-      'Machine Inventory',
+      ""Machine Inventory ${machine}"",
       ""Run Inventory ${machine}"")
 
     parameters {
@@ -66,6 +66,7 @@ nums.each {
       shell('virtualenv -p python3.7 test37 && . ./test37/bin/activate && python --version && deactivate || echo ""python 3.7 not found""')
       shell('echo ""Maven home $MAVEN_HOME""')
       shell('env')
+      shell('docker system prune --all --filter until=24h --force')
     }
   }
 } [/INST]  Here's a possible commit message based on the diff:

`Fixed triggering of build for pull requests with machine inventory`

This commit message provides a brief summary of the changes made in the commit. It highlights the"
"diff --git a/changelog.html b/changelog.html
index f209df8e4d..60b7e19c11 100644
--- a/changelog.html
+++ b/changelog.html
@@ -54,6 +54,14 @@ Upcoming changes</a>
 
 <!-- Record your changes in the trunk here. -->
 <div id=""trunk"" style=""display:none""><!--=TRUNK-BEGIN=-->
+<ul class=image>
+  <li class=>
+</ul>
+</div><!--=TRUNK-END=-->
+
+<!-- these changes are controlled by the release process. DO NOT MODIFY -->
+<div id=""rc"" style=""display:none;""><!--=BEGIN=-->
+<h3><a name=v1.595>What's new in 1.595</a> <!--=DATE=--></h3>
 <ul class=image>
   <li class=bug>
     Spurious warnings in the log after deleting builds.
@@ -66,12 +74,6 @@ Upcoming changes</a>
     (<a href=""https://issues.jenkins-ci.org/browse/JENKINS-25499"">issue 25499</a>,
      <a href=""https://issues.jenkins-ci.org/browse/JENKINS-25498"">issue 25498</a>)
 </ul>
-</div><!--=TRUNK-END=-->
-
-<!-- these changes are controlled by the release process. DO NOT MODIFY -->
-<div id=""rc"" style=""display:none;""><!--=BEGIN=-->
-<h3><a name=v1.595>What's new in 1.595</a> <!--=DATE=--></h3>
-<!--=RC-CHANGES=-->
 </div><!--=END=-->
 <h3><a name=v1.594>What's new in 1.594</a> (2014/12/14)</h3>
 <ul class=image>",creating an RC branch,"[INST] Generate a meaningful git commit message from the following diff:
diff --git a/changelog.html b/changelog.html
index f209df8e4d..60b7e19c11 100644
--- a/changelog.html
+++ b/changelog.html
@@ -54,6 +54,14 @@ Upcoming changes</a>
 
 <!-- Record your changes in the trunk here. -->
 <div id=""trunk"" style=""display:none""><!--=TRUNK-BEGIN=-->
+<ul class=image>
+  <li class=>
+</ul>
+</div><!--=TRUNK-END=-->
+
+<!-- these changes are controlled by the release process. DO NOT MODIFY -->
+<div id=""rc"" style=""display:none;""><!--=BEGIN=-->
+<h3><a name=v1.595>What's new in 1.595</a> <!--=DATE=--></h3>
 <ul class=image>
   <li class=bug>
     Spurious warnings in the log after deleting builds.
@@ -66,12 +74,6 @@ Upcoming changes</a>
     (<a href=""https://issues.jenkins-ci.org/browse/JENKINS-25499"">issue 25499</a>,
      <a href=""https://issues.jenkins-ci.org/browse/JENKINS-25498"">issue 25498</a>)
 </ul>
-</div><!--=TRUNK-END=-->
-
-<!-- these changes are controlled by the release process. DO NOT MODIFY -->
-<div id=""rc"" style=""display:none;""><!--=BEGIN=-->
-<h3><a name=v1.595>What's new in 1.595</a> <!--=DATE=--></h3>
-<!--=RC-CHANGES=-->
 </div><!--=END=-->
 <h3><a name=v1.594>What's new in 1.594</a> (2014/12/14)</h3>
 <ul class=image> [/INST]  Here is a possible meaningful commit message based on the diff output you provided:

`Added release notes for 1.595 and fixed spurious warnings in the log after deleting builds`

This commit message highlight"
"diff --git a/community/com/src/main/java/org/neo4j/com/MasterUtil.java b/community/com/src/main/java/org/neo4j/com/MasterUtil.java
index a8c5f901f1f..36a6200ec0b 100644
--- a/community/com/src/main/java/org/neo4j/com/MasterUtil.java
+++ b/community/com/src/main/java/org/neo4j/com/MasterUtil.java
@@ -74,13 +74,6 @@ public class MasterUtil
     
     public static SlaveContext rotateLogsAndStreamStoreFiles( GraphDatabaseService graphDb, StoreWriter writer )
     {
-        if ( Config.osIsWindows() )
-        {
-            throw new UnsupportedOperationException(
-                ""Streaming store files live (as used in HA and backup) ""
-                    + ""isn't supported on Windows due to limitations in OS/filesystem"" );
-        }
-
         File baseDir = getBaseDir( graphDb );
         XaDataSourceManager dsManager =
                 ((AbstractGraphDatabase) graphDb).getConfig().getTxModule().getXaDataSourceManager();
diff --git a/community/com/src/test/java/org/neo4j/com/backup/TestBackup.java b/community/com/src/test/java/org/neo4j/com/backup/TestBackup.java
index 7d55c553e4d..cb4acdf5391 100644
--- a/community/com/src/test/java/org/neo4j/com/backup/TestBackup.java
+++ b/community/com/src/test/java/org/neo4j/com/backup/TestBackup.java
@@ -91,7 +91,6 @@ public class TestBackup
     @Test
     public void fullThenIncremental() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         DbRepresentation initialDataSetRepresentation = createInitialDataSet( serverPath );
         ServerInterface server = startServer( serverPath );
         OnlineBackup backup = OnlineBackup.from( ""localhost"" );
@@ -109,7 +108,6 @@ public class TestBackup
     @Test
     public void makeSureStoreIdIsEnforced() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         // Create data set X on server A
         DbRepresentation initialDataSetRepresentation = createInitialDataSet( serverPath );
         ServerInterface server = startServer( serverPath );
diff --git a/community/com/src/test/java/org/neo4j/com/backup/TestConfiguration.java b/community/com/src/test/java/org/neo4j/com/backup/TestConfiguration.java
index 4ee63dbf284..d067458ef8e 100644
--- a/community/com/src/test/java/org/neo4j/com/backup/TestConfiguration.java
+++ b/community/com/src/test/java/org/neo4j/com/backup/TestConfiguration.java
@@ -29,7 +29,6 @@ import org.apache.commons.io.FileUtils;
 import org.junit.Before;
 import org.junit.Test;
 import org.neo4j.graphdb.GraphDatabaseService;
-import org.neo4j.kernel.Config;
 import org.neo4j.kernel.EmbeddedGraphDatabase;
 
 public class TestConfiguration
@@ -85,7 +84,6 @@ public class TestConfiguration
     @Test
     public void testEnableDefaultsInConfig() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         GraphDatabaseService db = newDb( ""true"" );
         OnlineBackup.from( ""localhost"" ).full( BACKUP_DIR );
         db.shutdown();
@@ -94,7 +92,6 @@ public class TestConfiguration
     @Test
     public void testEnableCustomPortInConfig() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         int customPort = 12345;
         GraphDatabaseService db = newDb( ""port="" + customPort );
         try
diff --git a/community/ha/src/test/java/slavetest/AbstractHaTest.java b/community/ha/src/test/java/slavetest/AbstractHaTest.java
index 969983f97df..f3cc6d9055e 100644
--- a/community/ha/src/test/java/slavetest/AbstractHaTest.java
+++ b/community/ha/src/test/java/slavetest/AbstractHaTest.java
@@ -46,7 +46,6 @@ import org.neo4j.graphdb.Relationship;
 import org.neo4j.graphdb.RelationshipType;
 import org.neo4j.helpers.collection.IteratorUtil;
 import org.neo4j.helpers.collection.MapUtil;
-import org.neo4j.kernel.Config;
 import org.neo4j.kernel.ha.Broker;
 import org.neo4j.kernel.ha.BrokerFactory;
 
@@ -393,7 +392,6 @@ public abstract class AbstractHaTest
     @Test
     public void slaveCreateNode() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 3, 2, 2, 2, 0, 0 );
         initializeDbs( 1 );
         executeJob( new CommonJobs.CreateSomeEntitiesJob(), 0 );
@@ -402,7 +400,6 @@ public abstract class AbstractHaTest
     @Test
     public void testMultipleSlaves() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 2, 1, 1, 1, 0, 0 );
         initializeDbs( 3 );
         executeJob( new CommonJobs.CreateSubRefNodeJob( CommonJobs.REL_TYPE.name(), null, null ), 0 );
@@ -415,7 +412,6 @@ public abstract class AbstractHaTest
     @Test
     public void testMasterFailure() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 1 );
         Serializable[] result = executeJob( new CommonJobs.CreateSubRefNodeMasterFailJob(
                 getMasterShutdownDispatcher() ), 0 );
@@ -429,7 +425,6 @@ public abstract class AbstractHaTest
     @Test
     public void testSlaveConstraintViolation() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 2, 1, 0, 1, 0, 0 );
         initializeDbs( 1 );
 
@@ -443,7 +438,6 @@ public abstract class AbstractHaTest
     @Test
     public void testMasterConstraintViolation() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 2, 1, 1, 1, 0, 0 );
         initializeDbs( 1 );
 
@@ -458,7 +452,6 @@ public abstract class AbstractHaTest
     @Test
     public void testGetRelationships() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 3, 2, 0, 0, 0, 0 );
         initializeDbs( 1 );
 
@@ -475,7 +468,6 @@ public abstract class AbstractHaTest
     @Test
     public void testNoTransaction() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 2, 1, 0, 1, 0, 0 );
         initializeDbs( 1 );
 
@@ -488,7 +480,6 @@ public abstract class AbstractHaTest
     @Test
     public void testNodeDeleted() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 1, 0, 0, 0, 0, 0 );
         initializeDbs( 1 );
 
@@ -503,7 +494,6 @@ public abstract class AbstractHaTest
     @Test
     public void testDeadlock() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 2 );
 
         Long[] nodes = executeJobOnMaster( new CommonJobs.CreateNodesJob( 2 ) );
@@ -526,7 +516,6 @@ public abstract class AbstractHaTest
     @Test
     public void createNodeAndIndex() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 2, 0, 1, 0, 1, 0 );
         initializeDbs( 1 );
         executeJob( new CommonJobs.CreateNodeAndIndexJob( ""name"", ""Neo"" ), 0 );
@@ -535,7 +524,6 @@ public abstract class AbstractHaTest
     @Test
     public void indexingAndTwoSlaves() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 2 );
         long id = executeJobOnMaster( new CommonJobs.CreateNodeAndIndexJob( ""name"", ""Morpheus"" ) );
         pullUpdates();
@@ -548,7 +536,6 @@ public abstract class AbstractHaTest
     @Test
     public void testNewIndexFramework() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         setExpectedResults( 2, 0, 2, 0, 0, 2 );
         initializeDbs( 2 );
         long id = executeJobOnMaster( new CommonJobs.CreateNodeAndNewIndexJob( ""users"",
@@ -559,7 +546,6 @@ public abstract class AbstractHaTest
     @Test
     public void testLargeTransaction() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 1 );
         executeJob( new CommonJobs.LargeTransactionJob( 20, 1 ), 0 );
     }
@@ -567,7 +553,6 @@ public abstract class AbstractHaTest
     @Test
     public void testPullLargeTransaction() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 1 );
         executeJobOnMaster( new CommonJobs.LargeTransactionJob( 20, 1 ) );
         pullUpdates();
@@ -576,7 +561,6 @@ public abstract class AbstractHaTest
     @Test
     public void testLargeTransactionData() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 1 );
         executeJob( new CommonJobs.LargeTransactionJob( 1, 20 ), 0 );
     }
@@ -584,7 +568,6 @@ public abstract class AbstractHaTest
     @Test
     public void testPullLargeTransactionData() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 1 );
         executeJobOnMaster( new CommonJobs.LargeTransactionJob( 1, 20 ) );
         pullUpdates();
@@ -593,7 +576,6 @@ public abstract class AbstractHaTest
     @Test
     public void makeSureSlaveCanCopyLargeInitialDatabase() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         startUpMaster( MapUtil.stringMap() );
         executeJobOnMaster( new CommonJobs.LargeTransactionJob( 1, 60 ) );
         addDb( MapUtil.stringMap() );
@@ -604,7 +586,6 @@ public abstract class AbstractHaTest
     @Test
     public void canCopyInitialDbWithLuceneIndexes() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         int additionalNodeCount = 50;
         setExpectedResults( 1+additionalNodeCount, 0, additionalNodeCount*2, 0, 0, additionalNodeCount*2 );
         startUpMaster( MapUtil.stringMap() );
diff --git a/community/ha/src/test/java/slavetest/MultiJvmTest.java b/community/ha/src/test/java/slavetest/MultiJvmTest.java
index dec1cc8f691..06d100dbc64 100644
--- a/community/ha/src/test/java/slavetest/MultiJvmTest.java
+++ b/community/ha/src/test/java/slavetest/MultiJvmTest.java
@@ -29,7 +29,6 @@ import java.util.Map;
 import org.junit.After;
 import org.neo4j.graphdb.GraphDatabaseService;
 import org.neo4j.ha.StandaloneDatabase;
-import org.neo4j.kernel.Config;
 import org.neo4j.kernel.EmbeddedGraphDatabase;
 
 public class MultiJvmTest extends AbstractHaTest
@@ -68,7 +67,6 @@ public class MultiJvmTest extends AbstractHaTest
     @After
     public void shutdownDbsAndVerify() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         shutdownDbs();
 
         GraphDatabaseService masterDb = new EmbeddedGraphDatabase( dbPath( 0 ).getAbsolutePath() );
diff --git a/community/ha/src/test/java/slavetest/MultiJvmWithZooKeeperTest.java b/community/ha/src/test/java/slavetest/MultiJvmWithZooKeeperTest.java
index b9806cdc7ee..018208324b9 100644
--- a/community/ha/src/test/java/slavetest/MultiJvmWithZooKeeperTest.java
+++ b/community/ha/src/test/java/slavetest/MultiJvmWithZooKeeperTest.java
@@ -28,7 +28,6 @@ import org.junit.After;
 import org.junit.Before;
 import org.neo4j.ha.LocalhostZooKeeperCluster;
 import org.neo4j.ha.StandaloneDatabase;
-import org.neo4j.kernel.Config;
 
 public class MultiJvmWithZooKeeperTest extends MultiJvmTest
 {
@@ -43,7 +42,6 @@ public class MultiJvmWithZooKeeperTest extends MultiJvmTest
     @Before
     public void startZooKeeperCluster() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         FileUtils.deleteDirectory( BASE_ZOO_KEEPER_DATA_DIR );
         zooKeeperCluster = new LocalhostZooKeeperCluster( getClass(), /*ports:*/2181, 2182, 2183 );
     }
@@ -84,7 +82,6 @@ public class MultiJvmWithZooKeeperTest extends MultiJvmTest
     @After
     public void shutdownZooKeeperCluster()
     {
-        if ( Config.osIsWindows() ) return;
         zooKeeperCluster.shutdown();
     }
 }
diff --git a/community/ha/src/test/java/slavetest/SingleJvmTest.java b/community/ha/src/test/java/slavetest/SingleJvmTest.java
index 544c2db3373..b5eb6dead4e 100644
--- a/community/ha/src/test/java/slavetest/SingleJvmTest.java
+++ b/community/ha/src/test/java/slavetest/SingleJvmTest.java
@@ -119,7 +119,6 @@ public class SingleJvmTest extends AbstractHaTest
     @After
     public void verifyAndShutdownDbs()
     {
-        if ( Config.osIsWindows() ) return;
         try
         {
             verify( master.getGraphDb(), haDbs.toArray( new GraphDatabaseService[haDbs.size()] ) );
@@ -184,8 +183,6 @@ public class SingleJvmTest extends AbstractHaTest
     @Test
     public void testMixingEntitiesFromWrongDbs() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
-
         initializeDbs( 1 );
         GraphDatabaseService haDb1 = haDbs.get( 0 );
         GraphDatabaseService mDb = master.getGraphDb();
diff --git a/community/ha/src/test/java/slavetest/SingleJvmWithNettyTest.java b/community/ha/src/test/java/slavetest/SingleJvmWithNettyTest.java
index 61184920a50..e48248e2cf2 100644
--- a/community/ha/src/test/java/slavetest/SingleJvmWithNettyTest.java
+++ b/community/ha/src/test/java/slavetest/SingleJvmWithNettyTest.java
@@ -25,7 +25,6 @@ import org.junit.Test;
 import org.neo4j.com.Protocol;
 import org.neo4j.graphdb.GraphDatabaseService;
 import org.neo4j.helpers.Pair;
-import org.neo4j.kernel.Config;
 import org.neo4j.kernel.HighlyAvailableGraphDatabase;
 import org.neo4j.kernel.ha.AbstractBroker;
 import org.neo4j.kernel.ha.Broker;
@@ -39,7 +38,6 @@ public class SingleJvmWithNettyTest extends SingleJvmTest
     @Test
     public void assertThatNettyIsUsed() throws Exception
     {
-        if ( Config.osIsWindows() ) return;
         initializeDbs( 1 );
         assertTrue(
                 ""Slave Broker is not a client"",
diff --git a/community/kernel/src/main/java/org/neo4j/kernel/CommonFactories.java b/community/kernel/src/main/java/org/neo4j/kernel/CommonFactories.java
index 550752cf419..7b6805b6b49 100644
--- a/community/kernel/src/main/java/org/neo4j/kernel/CommonFactories.java
+++ b/community/kernel/src/main/java/org/neo4j/kernel/CommonFactories.java
@@ -31,6 +31,7 @@ import javax.transaction.TransactionManager;
 import org.neo4j.kernel.impl.core.DefaultRelationshipTypeCreator;
 import org.neo4j.kernel.impl.core.LastCommittedTxIdSetter;
 import org.neo4j.kernel.impl.core.RelationshipTypeCreator;
+import org.neo4j.kernel.impl.nioneo.store.FileLock;
 import org.neo4j.kernel.impl.nioneo.store.FileSystemAbstraction;
 import org.neo4j.kernel.impl.nioneo.store.IdGenerator;
 import org.neo4j.kernel.impl.nioneo.store.IdGeneratorImpl;
@@ -38,6 +39,8 @@ import org.neo4j.kernel.impl.nioneo.store.NeoStore;
 import org.neo4j.kernel.impl.transaction.LockManager;
 import org.neo4j.kernel.impl.transaction.TxFinishHook;
 import org.neo4j.kernel.impl.transaction.TxModule;
+import org.neo4j.kernel.impl.transaction.xaframework.DefaultLogBufferFactory;
+import org.neo4j.kernel.impl.transaction.xaframework.LogBufferFactory;
 import org.neo4j.kernel.impl.transaction.xaframework.TxIdGenerator;
 import org.neo4j.kernel.impl.transaction.xaframework.TxIdGeneratorFactory;
 
@@ -139,6 +142,17 @@ public class CommonFactories
             {
                 return new RandomAccessFile( fileName, mode ).getChannel();
             }
+            
+            @Override
+            public FileLock tryLock( String fileName, FileChannel channel ) throws IOException
+            {
+                return FileLock.getOsSpecificFileLock( fileName, channel );
+            }
         };
     }
+    
+    public static LogBufferFactory defaultLogBufferFactory( Map<?, ?> config )
+    {
+        return DefaultLogBufferFactory.create( config );
+    }
 }
diff --git a/community/kernel/src/main/java/org/neo4j/kernel/Config.java b/community/kernel/src/main/java/org/neo4j/kernel/Config.java
index 5f18875c8d9..abf36792d62 100644
--- a/community/kernel/src/main/java/org/neo4j/kernel/Config.java
+++ b/community/kernel/src/main/java/org/neo4j/kernel/Config.java
@@ -43,6 +43,7 @@ import org.neo4j.kernel.impl.persistence.IdGeneratorModule;
 import org.neo4j.kernel.impl.persistence.PersistenceModule;
 import org.neo4j.kernel.impl.transaction.LockManager;
 import org.neo4j.kernel.impl.transaction.TxModule;
+import org.neo4j.kernel.impl.transaction.xaframework.LogBufferFactory;
 import org.neo4j.kernel.impl.transaction.xaframework.TxIdGenerator;
 
 /**
@@ -111,7 +112,8 @@ public class Config
             LockReleaser lockReleaser, IdGeneratorFactory idGeneratorFactory,
             TxEventSyncHookFactory txSyncHookFactory,
             RelationshipTypeCreator relTypeCreator, TxIdGenerator txIdGenerator,
-            LastCommittedTxIdSetter lastCommittedTxIdSetter, FileSystemAbstraction fileSystem )
+            LastCommittedTxIdSetter lastCommittedTxIdSetter, FileSystemAbstraction fileSystem,
+            LogBufferFactory logBufferFactory )
     {
         this.storeDir = storeDir;
         this.inputParams = inputParams;
@@ -129,6 +131,7 @@ public class Config
         this.syncHookFactory = txSyncHookFactory;
         this.persistenceModule = new PersistenceModule();
         this.cacheManager = new AdaptiveCacheManager();
+        params.put( LogBufferFactory.class, logBufferFactory );
         graphDbModule = new GraphDbModule( graphDb, cacheManager, lockManager,
                 txModule.getTxManager(), idGeneratorModule.getIdGenerator(),
                 readOnly );
diff --git a/community/kernel/src/main/java/org/neo4j/kernel/EmbeddedGraphDbImpl.java b/community/kernel/src/main/java/org/neo4j/kernel/EmbeddedGraphDbImpl.java
index e48d8343e80..7c6e974f46d 100644
--- a/community/kernel/src/main/java/org/neo4j/kernel/EmbeddedGraphDbImpl.java
+++ b/community/kernel/src/main/java/org/neo4j/kernel/EmbeddedGraphDbImpl.java
@@ -111,7 +111,7 @@ class EmbeddedGraphDbImpl
         final Config config = new Config( graphDbService, storeDir, storeId, inputParams,
                 kernelPanicEventGenerator, txModule, lockManager, lockReleaser, idGeneratorFactory,
                 new SyncHookFactory(), relTypeCreator, txIdFactory.create( txModule.getTxManager() ),
-                lastCommittedTxIdSetter, fileSystem );
+                lastCommittedTxIdSetter, fileSystem, CommonFactories.defaultLogBufferFactory( inputParams ) );
         graphDbInstance = new GraphDbInstance( storeDir, true, config );
         this.msgLog = StringLogger.getLogger( storeDir );
         this.graphDbService = graphDbService;
diff --git a/community/kernel/src/main/java/org/neo4j/kernel/impl/nioneo/store/CommonAbstractStore.java b/community/kernel/src/main/java/org/neo4j/kernel/impl/nioneo/store/CommonAbstractStore.java
index 53e62b027d7..1ad4282b7b5 100644
--- a/community/kernel/src/main/java/org/neo4j/kernel/impl/nioneo/store/CommonAbstractStore.java
+++ b/community/kernel/src/main/java/org/neo4j/kernel/impl/nioneo/store/CommonAbstractStore.java
@@ -23,7 +23,6 @@ import java.io.File;
 import java.io.IOException;
 import java.nio.ByteBuffer;
 import java.nio.channels.FileChannel;
-import java.nio.channels.FileLock;
 import java.nio.channels.OverlappingFileLockException;
 import java.util.Map;
 import java.util.logging.Logger;
@@ -259,7 +258,7 @@ public abstract class CommonAbstractStore
         {
             if ( (!readOnly || backupSlave) && grabFileLock )
             {
-                this.fileLock = this.fileChannel.tryLock();
+                this.fileLock = getFileSystem().tryLock( storageFileName, fileChannel );
                 if ( fileLock == null )
                 {
                     throw new IllegalStateException( ""Unable to lock store [""
@@ -686,7 +685,10 @@ public abstract class CommonAbstractStore
                     fileChannel.write( buffer );
                     fileChannel.truncate( fileChannel.position() );
                     fileChannel.force( false );
-                    fileLock.release();
+                    if ( fileLock != null )
+                    {
+                        fileLock.release();
+                    }
                     fileChannel.close();
                     fileChannel = null;
                     success = true;
diff --git a/community/kernel/src/main/java/org/neo4j/kernel/impl/nioneo/store/FileLock.java b/community/kernel/src/main/java/org/neo4j/kernel/impl/nioneo/store/FileLock.java
new file mode 100644
index 00000000000..62f3ef72bb7
--- /dev/null
+++ b/community/kernel/src/main/java/org/neo4j/kernel/impl/nioneo/store/FileLock.java
@@ -0,0 +1,144 @@
+/**
+ * Copyright (c) 2002-2011 ""Neo Technology,""
+ * Network Engine for Objects in Lund AB [http://neotechnology.com]
+ *
+ * This file is part of Neo4j.
+ *
+ * Neo4j is free software: you can redistribute it and/or modify
+ * it under the terms of the GNU Affero General Public License as
+ * published by the Free Software Foundation, either version 3 of the
+ * License, or (at your option) any later version.
+ *
+ * This program is distributed in the hope that it will be useful,
+ * but WITHOUT ANY WARRANTY; without even the implied warranty of
+ * MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
+ * GNU Affero General Public License for more details.
+ *
+ * You should have received a copy of the GNU Affero General Public License
+ * along with this program. If not, see <http://www.gnu.org/licenses/>.
+ */
+package org.neo4j.kernel.impl.nioneo.store;
+
+import java.io.File;
+import java.io.IOException;
+import java.io.RandomAccessFile;
+import java.nio.channels.FileChannel;
+import java.nio.channels.OverlappingFileLockException;
+
+import org.neo4j.kernel.Config;
+
+public abstract class FileLock
+{
+    private static FileLock wrapOrNull( final java.nio.channels.FileLock lock )
+    {
+        if ( lock == null )
+        {
+            return null;
+        }
+        
+        return new FileLock()
+        {
+            @Override
+            public void release() throws IOException
+            {
+                lock.release();
+            }
+        };
+    }
+    
+    public static FileLock getOsSpecificFileLock( String fileName, FileChannel channel )
+            throws IOException
+    {
+        if ( Config.osIsWindows() )
